method,path,file,line
GET,/akhdimni/admin/errands,admin-dashboard\src\api\akhdimni.ts,86
GET,/akhdimni/errands/{id},admin-dashboard\src\api\akhdimni.ts,110
GET,/akhdimni/admin/errands,admin-dashboard\src\api\akhdimni.ts,128
DELETE,/er/assets/{id},admin-dashboard\src\api\assets.ts,65
DELETE,/er/accounts/chart/{id},admin-dashboard\src\api\chartAccounts.ts,65
PUT,/admin/onboarding-slides/{id},admin-dashboard\src\api\cmsApi.ts,49
POST,/admin/onboarding-slides,admin-dashboard\src\api\cmsApi.ts,50
DELETE,/admin/onboarding-slides/{id},admin-dashboard\src\api\cmsApi.ts,53
POST,/admin/onboarding-slides,admin-dashboard\src\api\cmsApi.ts,56
PUT,/admin/pages/{id},admin-dashboard\src\api\cmsApi.ts,65
POST,/admin/pages,admin-dashboard\src\api\cmsApi.ts,66
DELETE,/admin/pages/{id},admin-dashboard\src\api\cmsApi.ts,69
POST,/admin/pages,admin-dashboard\src\api\cmsApi.ts,72
PUT,/admin/strings/{id},admin-dashboard\src\api\cmsApi.ts,81
POST,/admin/strings,admin-dashboard\src\api\cmsApi.ts,82
DELETE,/admin/strings/{id},admin-dashboard\src\api\cmsApi.ts,85
PUT,/admin/home-layouts/{id},admin-dashboard\src\api\cmsApi.ts,94
POST,/admin/home-layouts,admin-dashboard\src\api\cmsApi.ts,95
DELETE,/admin/home-layouts/{id},admin-dashboard\src\api\cmsApi.ts,98
DELETE,/admin/wallet/coupons/{id},admin-dashboard\src\api\coupons.ts,65
DELETE,/er/documents/{id},admin-dashboard\src\api\documents.ts,100
GET,/er/documents/{id}/download,admin-dashboard\src\api\documents.ts,126
DELETE,/er/documents/bulk,admin-dashboard\src\api\documents.ts,163
GET,/er/documents/export,admin-dashboard\src\api\documents.ts,174
DELETE,/admin/drivers/leave-requests/{id},admin-dashboard\src\api\driverLeaveRequests.ts,80
DELETE,/admin/drivers/{id},admin-dashboard\src\api\drivers.ts,157
DELETE,/admin/drivers/shifts/{id},admin-dashboard\src\api\drivers.ts,231
DELETE,/admin/drivers/assets/{id},admin-dashboard\src\api\drivers.ts,272
DELETE,/employees/{id},admin-dashboard\src\api\employees.ts,44
GET,/merchant/catalog/products,admin-dashboard\src\api\merchant.ts,7
GET,/merchant/catalog/products/{id},admin-dashboard\src\api\merchant.ts,12
POST,/merchant/catalog/products,admin-dashboard\src\api\merchant.ts,17
PATCH,/merchant/catalog/products/{id},admin-dashboard\src\api\merchant.ts,22
GET,/merchant/categories,admin-dashboard\src\api\merchant.ts,30
POST,/merchant/categories,admin-dashboard\src\api\merchant.ts,35
PATCH,/merchant/categories/{id},admin-dashboard\src\api\merchant.ts,40
DELETE,/merchant/categories/{id},admin-dashboard\src\api\merchant.ts,45
GET,/merchant/attributes,admin-dashboard\src\api\merchant.ts,52
GET,/merchant/attributes,admin-dashboard\src\api\merchant.ts,57
POST,/merchant/attributes,admin-dashboard\src\api\merchant.ts,64
PATCH,/merchant/attributes/{id},admin-dashboard\src\api\merchant.ts,69
DELETE,/merchant/attributes/{id},admin-dashboard\src\api\merchant.ts,74
GET,/merchant/products,admin-dashboard\src\api\merchant.ts,85
GET,/merchant/products/{id},admin-dashboard\src\api\merchant.ts,90
POST,/merchant/products,admin-dashboard\src\api\merchant.ts,95
PATCH,/merchant/products/{id},admin-dashboard\src\api\merchant.ts,100
DELETE,/merchant/products/{id},admin-dashboard\src\api\merchant.ts,105
PATCH,/merchant/products/{id}/stock,admin-dashboard\src\api\merchant.ts,110
GET,/merchant,admin-dashboard\src\api\merchant.ts,118
GET,/merchant/{id},admin-dashboard\src\api\merchant.ts,123
POST,/merchant,admin-dashboard\src\api\merchant.ts,128
PATCH,/merchant/{id},admin-dashboard\src\api\merchant.ts,133
DELETE,/merchant/{id},admin-dashboard\src\api\merchant.ts,138
GET,/delivery/order,admin-dashboard\src\api\orders.ts,34
POST,/delivery/order/{id}/assign-driver,admin-dashboard\src\api\orders.ts,46
PATCH,/delivery/order/{id}/admin-status,admin-dashboard\src\api\orders.ts,54
GET,/delivery/order/export,admin-dashboard\src\api\orders.ts,67
POST,/delivery/order/{id}/notes,admin-dashboard\src\api\orders.ts,76
GET,/delivery/order/{id}/notes,admin-dashboard\src\api\orders.ts,84
DELETE,/er/payroll/{id},admin-dashboard\src\api\payroll.ts,65
DELETE,/promotions/{id},admin-dashboard\src\api\promotions.ts,91
POST,/promotions/{id}/click,admin-dashboard\src\api\promotions.ts,97
POST,/promotions/{id}/conversion,admin-dashboard\src\api\promotions.ts,103
GET,/promotions/stats/overview,admin-dashboard\src\api\promotions.ts,109
POST,/admin/reports/generate,admin-dashboard\src\api\reports.ts,177
POST,/admin/reports/export/{id}/{id},admin-dashboard\src\api\reports.ts,189
GET,/admin/reports/realtime,admin-dashboard\src\api\reports.ts,203
GET,/admin/wallet/settlements/export,admin-dashboard\src\api\settlements.ts,106
DELETE,/admin/wallet/subscriptions/{id},admin-dashboard\src\api\subscriptions.ts,72
GET,/vendors,admin-dashboard\src\api\vendors.ts,84
POST,/vendors/{id}/reset-password,admin-dashboard\src\api\vendors.ts,122
