method,path,file,line
POST,/akhdimni/errands,app-user\src\api\akhdimniApi.ts,125
GET,/akhdimni/my-errands,app-user\src\api\akhdimniApi.ts,139
GET,/akhdimni/errands/{id},app-user\src\api\akhdimniApi.ts,151
GET,/delivery/order/user/{id},app-user\src\api\orders.ts,53
GET,/delivery/order/my-orders,app-user\src\api\orders.ts,64
POST,/delivery/order/{id}/cancel,app-user\src\api\orders.ts,79
POST,/delivery/order/{id}/return,app-user\src\api\orders.ts,87
POST,/delivery/order/{id}/rate,app-user\src\api\orders.ts,95
GET,/delivery/order/{id}/tracking,app-user\src\api\orders.ts,114
GET,/delivery/order/{id}/driver-eta,app-user\src\api\orders.ts,128
GET,/delivery/order/{id}/route-history,app-user\src\api\orders.ts,134
GET,/delivery/order/{id}/pod,app-user\src\api\orders.ts,148
GET,/delivery/order/{id}/notes,app-user\src\api\orders.ts,154
GET,/delivery/order/public/{id}/status,app-user\src\api\orders.ts,160
POST,/promotions/{id}/click,app-user\src\api\promotions.ts,37
POST,/support/tickets,app-user\src\api\support.ts,41
GET,/support/tickets,app-user\src\api\support.ts,47
GET,/support/tickets/{id},app-user\src\api\support.ts,53
PATCH,/support/tickets/{id}/messages,app-user\src\api\support.ts,59
PATCH,/support/tickets/{id}/rate,app-user\src\api\support.ts,65
GET,/support/stats,app-user\src\api\support.ts,71
GET,/users/me,app-user\src\api\userApi.ts,18
PATCH,/users/profile,app-user\src\api\userApi.ts,38
POST,/users/address,app-user\src\api\userApi.ts,47
PATCH,/users/address/{id},app-user\src\api\userApi.ts,61
DELETE,/users/address/{id},app-user\src\api\userApi.ts,68
PATCH,/users/default-address,app-user\src\api\userApi.ts,77
GET,/delivery/order/user/{id},app-user\src\api\userApi.ts,85
GET,/v2/wallet/balance,app-user\src\api\walletApi.ts,81
GET,/v2/wallet/transactions,app-user\src\api\walletApi.ts,94
GET,/v2/wallet/topup/methods,app-user\src\api\walletApi.ts,118
POST,/v2/wallet/topup/kuraimi,app-user\src\api\walletApi.ts,130
POST,/v2/wallet/topup/verify,app-user\src\api\walletApi.ts,140
GET,/v2/wallet/topup/history,app-user\src\api\walletApi.ts,153
GET,/v2/wallet/withdraw/methods,app-user\src\api\walletApi.ts,165
POST,/v2/wallet/withdraw/request,app-user\src\api\walletApi.ts,177
GET,/v2/wallet/withdraw/my,app-user\src\api\walletApi.ts,188
POST,/v2/wallet/coupons/apply,app-user\src\api\walletApi.ts,213
POST,/v2/wallet/coupons/validate,app-user\src\api\walletApi.ts,223
GET,/v2/wallet/coupons/my,app-user\src\api\walletApi.ts,233
GET,/v2/wallet/coupons/history,app-user\src\api\walletApi.ts,244
GET,/v2/wallet/subscriptions/my,app-user\src\api\walletApi.ts,270
POST,/v2/wallet/pay-bill,app-user\src\api\walletApi.ts,296
GET,/v2/wallet/bills,app-user\src\api\walletApi.ts,307
POST,/v2/wallet/transfer,app-user\src\api\walletApi.ts,321
GET,/v2/wallet/transfers,app-user\src\api\walletApi.ts,332
POST,/v2/wallet/refund/request,app-user\src\api\walletApi.ts,345
GET,/users/me,app-user\src\auth\AuthContext.tsx,62
GET,/delivery/categories,app-user\src\components\CategoriesChips.tsx,30
GET,/delivery/categories,app-user\src\components\delivery\DeliveryCategories.tsx,65
GET,/delivery/stores{id},app-user\src\components\delivery\DeliveryDeals.tsx,74
GET,/delivery/stores,app-user\src\components\delivery\DeliveryTrending.tsx,70
GET,/delivery/cart/user/{id},app-user\src\context\CartContext.tsx,107
GET,/delivery/cart/{id},app-user\src\context\CartContext.tsx,111
POST,/delivery/cart/add,app-user\src\context\CartContext.tsx,190
GET,/notifications/my,app-user\src\hooks\useNotifications.ts,21
GET,/notifications/unread/count,app-user\src\hooks\useNotifications.ts,27
POST,/notifications/read-all,app-user\src\hooks\useNotifications.ts,38
POST,/notifications/{id}/read,app-user\src\hooks\useNotifications.ts,50
GET,/users/me,app-user\src\screens\Auth\LoginScreen.tsx,215
GET,/users/me,app-user\src\screens\Auth\RegisterScreen.tsx,286
GET,/users/me,app-user\src\screens\Auth\RegisterScreen.tsx,313
GET,/delivery/stores,app-user\src\screens\delivery\CategoryDetailsScreen.tsx,99
GET,/delivery/promotions/by-stores,app-user\src\screens\delivery\CategoryDetailsScreen.tsx,125
GET,/delivery/stores/search,app-user\src\screens\delivery\DeliverySearch.tsx,160
GET,/delivery/cart/fee,app-user\src\screens\delivery\InvoiceScreen.tsx,93
GET,/users/address,app-user\src\screens\delivery\InvoiceScreen.tsx,121
POST,/coupons/validate,app-user\src\screens\delivery\InvoiceScreen.tsx,159
POST,/delivery/cart/add,app-user\src\screens\delivery\InvoiceScreen.tsx,202
POST,/delivery/order,app-user\src\screens\delivery\InvoiceScreen.tsx,220
POST,/utility/order,app-user\src\screens\delivery\UtilityGasScreen.tsx,240
POST,/utility/order,app-user\src\screens\delivery\UtilityWaterScreen.tsx,308
POST,/events,app-user\src\utils\lib\track.ts,12
