method,path,file,line
DELETE,/merchant/products/{id},vendor-app\src\api\merchant.ts,69
GET,/merchant/catalog/products,vendor-app\src\api\merchant.ts,84
POST,/notifications/read-all,vendor-app\src\api\notifications.ts,50
DELETE,/notifications/{id},vendor-app\src\api\notifications.ts,56
GET,/notifications/suppression/channels,vendor-app\src\api\notifications.ts,62
POST,/notifications/suppression,vendor-app\src\api\notifications.ts,67
POST,/promotions/{id}/click,vendor-app\src\api\promotions.ts,34
POST,/support/tickets,vendor-app\src\api\support.ts,26
GET,/support/tickets,vendor-app\src\api\support.ts,31
PATCH,/support/tickets/{id}/messages,vendor-app\src\api\support.ts,36
PATCH,/vendors/me,vendor-app\src\api\vendor.ts,55
GET,/groceries/catalog,vendor-app\src\screens\CatalogProductPickerScreen.tsx,55
GET,/delivery/order/vendor/orders,vendor-app\src\screens\OrdersScreen.tsx,74
POST,/delivery/order/{id}/vendor-accept,vendor-app\src\screens\OrdersScreen.tsx,93
POST,/delivery/order/{id}/vendor-cancel,vendor-app\src\screens\OrdersScreen.tsx,96
GET,/vendors/me,vendor-app\src\screens\SettingsScreen.tsx,75
PATCH,/vendors/me,vendor-app\src\screens\SettingsScreen.tsx,111
POST,/vendors/account/delete-request,vendor-app\src\screens\SettingsScreen.tsx,174
GET,/vendors/dashboard/overview,vendor-app\src\screens\StatisticsScreen.tsx,36
GET,/delivery/order/vendor/orders,vendor-app\src\screens\StatisticsScreen.tsx,51
GET,/delivery/stores/{id},vendor-app\src\screens\StoreInfoScreen.tsx,74
PUT,/delivery/stores/{id},vendor-app\src\screens\StoreInfoScreen.tsx,123
GET,/vendors/account/statement,vendor-app\src\screens\VendorAccountStatementScreen.tsx,78
GET,/vendors/settlements,vendor-app\src\screens\VendorAccountStatementScreen.tsx,79
GET,/vendors/sales,vendor-app\src\screens\VendorAccountStatementScreen.tsx,80
POST,/vendors/settlements,vendor-app\src\screens\VendorAccountStatementScreen.tsx,160
PATCH,/vendors/me,vendor-app\src\utils\notifications.ts,43
