method,path,file,line
POST,/akhdimni/errands,bthwani-web\src\api\akhdimni.ts,108
GET,/akhdimni/my-errands,bthwani-web\src\api\akhdimni.ts,117
GET,/akhdimni/errands/{id},bthwani-web\src\api\akhdimni.ts,125
POST,/auth/forgot,bthwani-web\src\api\auth.ts,129
POST,/auth/reset/verify,bthwani-web\src\api\auth.ts,136
POST,/auth/reset,bthwani-web\src\api\auth.ts,144
POST,/auth/verify-otp,bthwani-web\src\api\auth.ts,148
DELETE,/delivery/cart/{id},bthwani-web\src\api\cart.ts,81
DELETE,/delivery/cart,bthwani-web\src\api\cart.ts,101
POST,/errands/order,bthwani-web\src\api\delivery.ts,304
GET,/errands/user/{id},bthwani-web\src\api\delivery.ts,312
GET,/errands/{id},bthwani-web\src\api\delivery.ts,320
GET,/errands/categories,bthwani-web\src\api\delivery.ts,349
GET,/errands/drivers/available,bthwani-web\src\api\delivery.ts,357
POST,/notifications/read-all,bthwani-web\src\api\notifications.ts,55
DELETE,/notifications/{id},bthwani-web\src\api\notifications.ts,63
GET,/user/profile,bthwani-web\src\features\utilityGas\api.ts,6
POST,/utility/order,bthwani-web\src\features\utilityGas\api.ts,21
GET,/user/profile,bthwani-web\src\features\utilityWater\api.ts,9
POST,/utility/order,bthwani-web\src\features\utilityWater\api.ts,19
