Method,NormalizedPath,File,Line,OriginalPath
DELETE,{id},".\src\modules\merchant\merchant.controller.ts",85,:id
DELETE,{id},".\src\modules\notification\notification.controller.ts",82,:id
DELETE,{id},".\src\modules\promotion\promotion.controller.ts",95,:id
DELETE,{id},".\src\modules\store\store.controller.ts",167,:id
GET,{id},".\src\modules\driver\driver.controller.ts",48,:id
GET,{id},".\src\modules\merchant\merchant.controller.ts",64,:id
GET,{id},".\src\modules\order\order-cqrs.controller.ts",153,:id
GET,{id},".\src\modules\order\order.controller.ts",89,:id
GET,{id},".\src\modules\promotion\promotion.controller.ts",74,:id
GET,{id},".\src\modules\store\delivery-store.controller.ts",46,:id
GET,{id},".\src\modules\store\store.controller.ts",51,:id
GET,{id},".\src\modules\vendor\vendor.controller.ts",56,:id
GET,{id}/products,".\src\modules\store\delivery-store.controller.ts",53,:id/products
GET,{id}/products,".\src\modules\store\store.controller.ts",67,:id/products
GET,commissions/my,".\src\modules\finance\finance.controller.ts",61,commissions/my
GET,commissions/my,".\src\modules\marketer\marketer.controller.ts",130,commissions/my
GET,consent/check/{type},".\src\modules\auth\auth.controller.ts",168,consent/check/:type
GET,consent/check/{type},".\src\modules\legal\legal.controller.ts",109,consent/check/:type
GET,earnings,".\src\modules\driver\driver.controller.ts",98,earnings
GET,earnings,".\src\modules\marketer\marketer.controller.ts",185,earnings
GET,me,".\src\modules\user\user.controller.ts",43,me
GET,me,".\src\modules\vendor\vendor.controller.ts",49,me
GET,my,".\src\modules\notification\notification.controller.ts",51,my
GET,my,".\src\modules\onboarding\onboarding.controller.ts",51,my
GET,profile,".\src\modules\driver\driver.controller.ts",80,profile
GET,profile,".\src\modules\marketer\marketer.controller.ts",28,profile
GET,search,".\src\modules\store\delivery-store.controller.ts",36,search
GET,search,".\src\modules\user\user.controller.ts",168,search
GET,statistics,".\src\modules\driver\driver.controller.ts",128,statistics
GET,statistics,".\src\modules\onboarding\onboarding.controller.ts",148,statistics
GET,user/{userid},".\src\modules\cart\cart.controller.ts",45,user/:userId
GET,user/{userid},".\src\modules\order\order.controller.ts",51,user/:userId
PATCH,{id},".\src\modules\merchant\merchant.controller.ts",73,:id
PATCH,{id},".\src\modules\promotion\promotion.controller.ts",83,:id
PATCH,{id},".\src\modules\shift\shift.controller.ts",60,:id
PATCH,{id},".\src\modules\store\store.controller.ts",78,:id
PATCH,{id},".\src\modules\vendor\vendor.controller.ts",74,:id
PATCH,{id}/status,".\src\modules\order\order-cqrs.controller.ts",85,:id/status
PATCH,{id}/status,".\src\modules\vendor\vendor.controller.ts",85,:id/status
PATCH,me,".\src\modules\user\user.controller.ts",56,me
PATCH,me,".\src\modules\vendor\vendor.controller.ts",63,me
PATCH,products/{id},".\src\modules\merchant\merchant.controller.ts",186,products/:id
PATCH,products/{id},".\src\modules\store\store.controller.ts",118,products/:id
PATCH,profile,".\src\modules\driver\driver.controller.ts",88,profile
PATCH,profile,".\src\modules\marketer\marketer.controller.ts",36,profile
POST,{id}/assign-driver,".\src\modules\order\order-cqrs.controller.ts",109,:id/assign-driver
POST,{id}/assign-driver,".\src\modules\order\order.controller.ts",98,:id/assign-driver
POST,{id}/cancel,".\src\modules\order\order-cqrs.controller.ts",127,:id/cancel
POST,{id}/cancel,".\src\modules\order\order.controller.ts",249,:id/cancel
POST,consent,".\src\modules\auth\auth.controller.ts",57,consent
POST,consent,".\src\modules\legal\legal.controller.ts",76,consent
POST,products,".\src\modules\merchant\merchant.controller.ts",149,products
POST,products,".\src\modules\store\store.controller.ts",59,products
POST,settlements,".\src\modules\finance\finance.controller.ts",164,settlements
POST,settlements,".\src\modules\vendor\vendor.controller.ts",127,settlements
POST,wallet/transfer,".\src\common\config\throttler.config.ts",43,wallet/transfer
POST,wallet/transfer,".\src\common\config\throttler.config.ts",49,wallet/transfer
