surface,file,client,method,path,normalized_path
ADMIN-DASH,bthwani-project-main/admin-dashboard/public/sw.js,fetch,GET,/api/content/latest,/API/CONTENT/LATEST
ADMIN-DASH,bthwani-project-main/admin-dashboard/public/sw.js,headers,GET,accept,/ACCEPT
ADMIN-DASH,bthwani-project-main/admin-dashboard/public/sw.js,cache,PUT,/api/content/latest,/API/CONTENT/LATEST
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminNotifications.ts,api,GET,/admin/notifications/campaigns,/ADMIN/NOTIFICATIONS/CAMPAIGNS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminNotifications.ts,api,POST,/admin/notifications/campaigns,/ADMIN/NOTIFICATIONS/CAMPAIGNS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminNotifications.ts,api,GET,/admin/notifications/templates,/ADMIN/NOTIFICATIONS/TEMPLATES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminNotifications.ts,api,POST,/admin/notifications/templates,/ADMIN/NOTIFICATIONS/TEMPLATES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminOverview.ts,axios,GET,/admin/dashboard/summary,/ADMIN/DASHBOARD/SUMMARY
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminOverview.ts,axios,GET,/admin/dashboard/timeseries,/ADMIN/DASHBOARD/TIMESERIES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminOverview.ts,axios,GET,/admin/dashboard/top,/ADMIN/DASHBOARD/TOP
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminOverview.ts,axios,GET,/admin/dashboard/alerts,/ADMIN/DASHBOARD/ALERTS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminUsers.ts,api,GET,/admin/users,/ADMIN/USERS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminUsers.ts,api,POST,/admin/users,/ADMIN/USERS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/adminUsers.ts,api,GET,/admin/modules,/ADMIN/MODULES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/akhdimni.ts,axiosInstance,GET,/akhdimni/admin/errands,/AKHDIMNI/ADMIN/ERRANDS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/amani.ts,api,GET,/admin/amani,/ADMIN/AMANI
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/arabon.ts,api,GET,/admin/arabon,/ADMIN/ARABON
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/cmsApi.ts,axiosInstance,POST,/admin/onboarding-slides,/ADMIN/ONBOARDING-SLIDES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/cmsApi.ts,axiosInstance,POST,/admin/pages,/ADMIN/PAGES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/documents.ts,axiosInstance,DELETE,/er/documents/bulk,/ER/DOCUMENTS/BULK
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/documents.ts,axiosInstance,GET,/er/documents/export,/ER/DOCUMENTS/EXPORT
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/driverFinance.ts,api,GET,/admin/drivers/finance,/ADMIN/DRIVERS/FINANCE
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/driverFinance.ts,api,POST,/admin/drivers/finance/run,/ADMIN/DRIVERS/FINANCE/RUN
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/es3afni.ts,api,GET,/admin/es3afni,/ADMIN/ES3AFNI
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/kawader.ts,api,GET,/admin/kawader,/ADMIN/KAWADER
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/kawader.ts,api,GET,/admin/kawader/stats/overview,/ADMIN/KAWADER/STATS/OVERVIEW
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/kenz.ts,api,GET,/admin/kenz,/ADMIN/KENZ
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/kenz.ts,api,GET,/admin/kenz/stats/overview,/ADMIN/KENZ/STATS/OVERVIEW
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/maarouf.ts,api,GET,/admin/maarouf,/ADMIN/MAAROUF
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/maarouf.ts,api,GET,/admin/maarouf/stats/overview,/ADMIN/MAAROUF/STATS/OVERVIEW
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/merchant.ts,axiosInstance,GET,/merchant/catalog/products,/MERCHANT/CATALOG/PRODUCTS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/merchant.ts,axiosInstance,POST,/merchant/catalog/products,/MERCHANT/CATALOG/PRODUCTS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/merchant.ts,axiosInstance,GET,/merchant/categories,/MERCHANT/CATEGORIES
