method,normalized_path,backend,frontend,openapi
DELETE,/ACCOUNTS/CHART/{PARAM},1,0,0
DELETE,/ADDRESS/{PARAM},1,0,0
DELETE,/ADMIN/AMANI/{PARAM},1,0,0
DELETE,/ADMIN/ARABON/{PARAM},1,0,0
DELETE,/ADMIN/DRIVERS/ASSETS/{PARAM},1,0,1
DELETE,/ADMIN/DRIVERS/LEAVE-REQUESTS/{PARAM},1,0,1
DELETE,/ADMIN/DRIVERS/SHIFTS/{PARAM},1,0,1
DELETE,/ADMIN/DRIVERS/{PARAM},1,0,1
DELETE,/ADMIN/ES3AFNI/{PARAM},1,0,0
DELETE,/ADMIN/HOME-LAYOUTS/{PARAM},1,0,1
DELETE,/ADMIN/KAWADER/{PARAM},1,0,0
DELETE,/ADMIN/KENZ/{PARAM},1,0,0
DELETE,/ADMIN/MAAROUF/{PARAM},1,0,0
DELETE,/ADMIN/ONBOARDING-SLIDES/{PARAM},1,0,1
DELETE,/ADMIN/PAGES/{PARAM},1,0,1
DELETE,/ADMIN/PAYMENTS/{PARAM},1,0,0
DELETE,/ADMIN/SANAD/{PARAM},1,0,0
DELETE,/ADMIN/STORES/{PARAM},1,0,1
DELETE,/ADMIN/STRINGS/{PARAM},1,0,1
DELETE,/ADMIN/WALLET/COUPONS/{PARAM},1,0,1
DELETE,/ADMIN/WALLET/SUBSCRIPTIONS/{PARAM},1,0,1
DELETE,/AMANI/{PARAM},1,0,0
DELETE,/API/USERS/123,0,1,0
DELETE,/API/V2/SANAD/{PARAM},1,0,0
DELETE,/ARABON/{PARAM},1,0,0
DELETE,/ASSETS/{PARAM},1,0,0
DELETE,/ATTRIBUTES/{PARAM},1,0,0
DELETE,/AUTH/CONSENT/{PARAM},1,0,1
DELETE,/AUTH/DELETE-ACCOUNT,0,1,0
DELETE,/CART/{PARAM},1,0,0
DELETE,/CATEGORIES/{PARAM},1,0,0
DELETE,/CONTENT/ADMIN/FAQS/{PARAM},1,0,1
DELETE,/CONTENT/BANNERS/{PARAM},1,0,1
DELETE,/CONTENT/SECTIONS/{PARAM},1,0,1
DELETE,/DELIVERY/CART,1,1,1
DELETE,/DELIVERY/CART/COMBINED/CLEAR-ALL,1,0,1
DELETE,/DELIVERY/CART/ITEMS/{PARAM},1,0,1
DELETE,/DELIVERY/CART/SHEIN,1,0,1
DELETE,/DELIVERY/CART/SHEIN/ITEMS/{PARAM},1,0,1
DELETE,/DELIVERY/CART/{PARAM},1,0,1
DELETE,/DELIVERY/CART/{PARAM}/ITEMS/{PARAM},1,0,1
DELETE,/DOCUMENTS/BULK,1,0,0
DELETE,/DOCUMENTS/{PARAM},1,0,0
DELETE,/DRIVER,0,1,0
DELETE,/DRIVERS/ASSETS/{PARAM},1,0,0
DELETE,/DRIVERS/LEAVE-REQUESTS/{PARAM},1,0,0
DELETE,/DRIVERS/SHIFTS/{PARAM},1,0,0
DELETE,/DRIVERS/{PARAM},1,0,0
DELETE,/EMPLOYEES/{PARAM},1,0,0
DELETE,/ER/ACCOUNTS/CHART/{PARAM},1,0,1
DELETE,/ER/ASSETS/{PARAM},1,0,1
DELETE,/ER/DOCUMENTS/BULK,1,1,1
DELETE,/ER/DOCUMENTS/{PARAM},1,0,1
DELETE,/ER/EMPLOYEES/{PARAM},1,0,1
DELETE,/ER/PAYROLL/{PARAM},1,0,1
DELETE,/ES3AFNI/{PARAM},1,0,0
DELETE,/HOME-LAYOUTS/{PARAM},1,0,0
DELETE,/KAWADER/{PARAM},1,0,0
DELETE,/KENZ/{PARAM},1,0,0
DELETE,/LEGAL/ACCOUNT,1,0,0
DELETE,/MAAROUF/{PARAM},1,0,0
DELETE,/MERCHANTS/ATTRIBUTES/{PARAM},1,0,1
DELETE,/MERCHANTS/CATEGORIES/{PARAM},1,0,1
DELETE,/MERCHANTS/PRODUCTS/{PARAM},1,0,1
DELETE,/MERCHANTS/{PARAM},1,0,1
DELETE,/NOTIFICATIONS/SUPPRESSION/CHANNEL/{PARAM},1,0,1
DELETE,/NOTIFICATIONS/SUPPRESSION/{PARAM},1,0,1
DELETE,/NOTIFICATIONS/{PARAM},1,0,1
DELETE,/ONBOARDING-SLIDES/{PARAM},1,0,0
DELETE,/PAGES/{PARAM},1,0,0
DELETE,/PAYROLL/{PARAM},1,0,0
DELETE,/PROMOTIONS/{PARAM},1,0,1
DELETE,/STRINGS/{PARAM},1,0,0
DELETE,/USER,0,1,0
DELETE,/USERS/ACCOUNT,1,0,0
DELETE,/USERS/ADDRESS/{PARAM},1,0,1
DELETE,/USERS/ADDRESSES/{PARAM},1,0,1
DELETE,/USERS/DEACTIVATE,1,0,1
DELETE,/USERS/ME,0,1,0
DELETE,/USERS/PIN/RESET/{PARAM},1,0,1
DELETE,/UTILITY/DAILY,1,0,1
DELETE,/UTILITY/DAILY/{PARAM},1,0,1
DELETE,/UTILITY/PRICING/{PARAM},1,0,1
DELETE,/VENDOR,0,1,0
DELETE,/WALLET/COUPONS/{PARAM},1,0,0
DELETE,/WALLET/SUBSCRIPTIONS/{PARAM},1,0,0
DELETE,/{PARAM},1,0,0
GET,/,1,0,1
GET,/) && !LINE.INCLUDES(,0,1,0
GET,"/)) {
      CONTINUE;
    }

    / SKIP EXTERNAL API CALLS (GOOGLE MAPS, FIREBASE, ETC.)
    IF (/IDENTITYTOOLKIT\.GOOGLEAPIS\.COM|SECURETOKEN\.GOOGLEAPIS\.COM|MAPS\.GOOGLEAPIS\.COM|GOOGLEAPIS\.COM|CLOUDINARY\.COM/.TEST(LINE)) {
      CONTINUE;
    }

    / SKIP REACT NATIVE NETINFO.FETCH()
    IF (/NETINFO\.FETCH\(\)/.TEST(LINE)) {
      CONTINUE;
    }

    / CHECK FOR FETCH( OR AXIOS.
    IF (/\BFETCH\(|\BAXIOS\./.TEST(LINE)) {
      / IF IT DOESN",0,1,0
GET,"/)) {
      CONTINUE;
    }

    / SKIP EXTERNAL APIS
    IF (/IDENTITYTOOLKIT\.GOOGLEAPIS\.COM|SECURETOKEN\.GOOGLEAPIS\.COM|MAPS\.GOOGLEAPIS\.COM|GOOGLEAPIS\.COM|CLOUDINARY\.COM/.TEST(LINE)) {
      CONTINUE;
    }

    / SKIP REACT NATIVE NETINFO
    IF (/NETINFO\.FETCH\(\)/.TEST(LINE)) {
      CONTINUE;
    }
    
    / CHECK FOR TYPED CLIENT USAGES
    FOR (CONST WRAPPER OF ALLOWEDWRAPPERS) {
      IF (LINE.INCLUDES(WRAPPER)) {
        STATS.TYPEDCLIENTUSAGES++;
        STATS.WRAPPERTYPES.ADD(WRAPPER);
      }
    }

    / CHECK FOR RAW FETCH (NOT IN WRAPPER)
    IF (/\BFETCH\(/.TEST(LINE)) {
      CONST HASWRAPPER = ALLOWEDWRAPPERS.SOME(W => LINE.INCLUDES(W));
      IF (!HASWRAPPER && !HASWRAPPERIMPORT) {
        STATS.RAWFETCHCOUNT++;
      }
    }

    / CHECK FOR RAW AXIOS (NOT IN WRAPPER)
    IF (/\BAXIOS\./.TEST(LINE)) {
      CONST HASWRAPPER = ALLOWEDWRAPPERS.SOME(W => LINE.INCLUDES(W));
      IF (!HASWRAPPER && !HASWRAPPERIMPORT) {
        STATS.RAWAXIOSCOUNT++;
      }
    }
  }

  RETURN STATS;
}

FUNCTION GENERATEREPORT() {
  CONST REPORT = {
    TIMESTAMP: NEW DATE().TOISOSTRING(),
    SUMMARY: {
      TOTALFILESSCANNED: 0,
      TOTALTYPEDCLIENTUSAGES: 0,
      TOTALRAWFETCHUSAGES: 0,
      TOTALRAWAXIOSUSAGES: 0,
      COMPLIANCE: ",0,1,0
GET,/ACCEPT,0,1,0
GET,/ACCOUNTS,0,1,0
GET,/ACCOUNTS/CHART,0,1,0
GET,/ACCOUNTS/CHART/TREE,0,1,0
GET,/ADMIN/AMANI,1,1,0
GET,/ADMIN/ARABON,1,1,0
GET,/ADMIN/AUDIT-LOGS,1,0,1
GET,/ADMIN/AUDIT-LOGS/MY-ACTIONS,0,1,0
GET,/ADMIN/AUDIT-LOGS/STATS,0,1,0
GET,/ADMIN/AUDIT-LOGS/{PARAM},1,0,1
GET,/ADMIN/BACKUP/LIST,1,0,1
GET,/ADMIN/BACKUP/{PARAM}/DOWNLOAD,1,0,1
GET,/ADMIN/CACHE/STATS,1,0,1
GET,/ADMIN/DASHBOARD,1,0,1
GET,/ADMIN/DASHBOARD/ALERTS,0,1,0
GET,/ADMIN/DASHBOARD/LIVE-METRICS,1,0,1
GET,/ADMIN/DASHBOARD/ORDERS-BY-STATUS,1,0,1
GET,/ADMIN/DASHBOARD/REVENUE,1,0,1
GET,/ADMIN/DASHBOARD/SUMMARY,0,1,0
GET,/ADMIN/DASHBOARD/SUPPORT-TICKETS,0,1,0
GET,/ADMIN/DASHBOARD/TIMESERIES,0,1,0
GET,/ADMIN/DASHBOARD/TOP,0,1,0
GET,/ADMIN/DATA-DELETION/REQUESTS,1,0,1
GET,/ADMIN/DATABASE/STATS,1,0,1
GET,/ADMIN/DRIVER-ASSETS,0,1,0
GET,/ADMIN/DRIVER-PAYOUTS,0,1,0
GET,/ADMIN/DRIVER-SHIFTS,0,1,0
GET,/ADMIN/DRIVERS,1,1,1
GET,/ADMIN/DRIVERS/ATTENDANCE,0,1,0
GET,/ADMIN/DRIVERS/ATTENDANCE/SUMMARY,1,0,1
GET,/ADMIN/DRIVERS/DOCS,0,1,0
GET,/ADMIN/DRIVERS/FINANCE,0,1,0
GET,/ADMIN/DRIVERS/LEAVE-REQUESTS,1,0,1
GET,/ADMIN/DRIVERS/STATS/BY-STATUS,1,0,1
GET,/ADMIN/DRIVERS/VACATIONS/STATS,0,1,0
GET,/ADMIN/DRIVERS/{PARAM},1,0,1
GET,/ADMIN/DRIVERS/{PARAM}/ATTENDANCE,1,0,1
GET,/ADMIN/DRIVERS/{PARAM}/FINANCIALS,1,0,1
GET,/ADMIN/DRIVERS/{PARAM}/LEAVE-BALANCE,1,0,1
GET,/ADMIN/DRIVERS/{PARAM}/PERFORMANCE,1,0,1
GET,/ADMIN/ES3AFNI,1,1,0
GET,/ADMIN/KAWADER,1,1,0
GET,/ADMIN/KAWADER/STATS/OVERVIEW,1,1,0
GET,/ADMIN/KAWADER/{PARAM},1,0,0
GET,/ADMIN/KENZ,1,1,0
GET,/ADMIN/KENZ/STATS/OVERVIEW,1,1,0
GET,/ADMIN/KENZ/{PARAM},1,0,0
GET,/ADMIN/LIST,0,1,0
GET,/ADMIN/MAAROUF,1,1,0
GET,/ADMIN/MAAROUF/STATS/OVERVIEW,1,1,0
GET,/ADMIN/MAAROUF/{PARAM},1,0,0
GET,/ADMIN/MARKETERS,1,0,1
GET,/ADMIN/MARKETERS/EXPORT,1,0,1
GET,/ADMIN/MARKETERS/STATISTICS,1,0,1
GET,/ADMIN/MARKETERS/{PARAM},1,0,1
GET,/ADMIN/MARKETERS/{PARAM}/PERFORMANCE,1,0,1
GET,/ADMIN/MARKETERS/{PARAM}/STORES,1,0,1
GET,/ADMIN/ME,0,1,0
GET,/ADMIN/MODULES,0,1,0
GET,/ADMIN/NOTIFICATIONS/CAMPAIGNS,0,1,0
GET,/ADMIN/NOTIFICATIONS/TEMPLATES,0,1,0
GET,/ADMIN/OPS/DRIVERS/REALTIME,0,1,0
GET,/ADMIN/OPS/HEATMAP,0,1,0
GET,/ADMIN/ORDERS/STATS/BY-CITY,1,0,1
GET,/ADMIN/ORDERS/STATS/BY-PAYMENT-METHOD,1,0,1
GET,/ADMIN/PAYMENTS,1,1,0
GET,/ADMIN/PAYMENTS/STATS/OVERVIEW,1,1,0
GET,/ADMIN/PAYMENTS/{PARAM},1,0,0
GET,/ADMIN/PENDING-ACTIVATIONS,0,1,0
GET,/ADMIN/QUALITY/METRICS,1,0,1
GET,/ADMIN/REPORTS/DAILY,1,0,1
GET,/ADMIN/REPORTS/REALTIME,1,1,1
GET,/ADMIN/ROLES,1,0,1
GET,/ADMIN/SANAD,1,1,0
GET,/ADMIN/SANAD/STATS/OVERVIEW,1,1,0
GET,/ADMIN/SANAD/{PARAM},1,0,0
GET,/ADMIN/SECURITY/PASSWORD-ATTEMPTS,1,0,1
GET,/ADMIN/SETTINGS,1,0,1
GET,/ADMIN/SETTINGS/APPEARANCE,0,1,0
GET,/ADMIN/SETTINGS/FEATURE-FLAGS,1,0,1
GET,/ADMIN/STATS/FINANCIAL,1,0,1
GET,/ADMIN/STATS/TODAY,1,0,1
GET,/ADMIN/STORES,1,0,1
GET,/ADMIN/STORES/PENDING,1,0,1
GET,/ADMIN/STORES/PRODUCTS/{PARAM}/VARIANTS,1,0,1
GET,/ADMIN/STORES/{PARAM},1,0,1
GET,/ADMIN/STORES/{PARAM}/ANALYTICS,1,0,1
GET,/ADMIN/STORES/{PARAM}/INVENTORY,1,0,1
GET,/ADMIN/STORES/{PARAM}/PRODUCTS,1,0,1
GET,/ADMIN/SUPPORT/STATS,0,1,0
GET,/ADMIN/SYSTEM/HEALTH,1,0,1
GET,/ADMIN/SYSTEM/METRICS,1,0,1
GET,/ADMIN/USERS,1,1,1
GET,/ADMIN/USERS/LIST,0,1,0
GET,/ADMIN/USERS/{PARAM},1,0,1
GET,/ADMIN/USERS/{PARAM}/ORDERS-HISTORY,1,0,1
GET,/ADMIN/VENDORS,0,1,0
GET,/ADMIN/VENDORS/PENDING,1,0,1
GET,/ADMIN/WALLET/COUPONS,0,1,0
GET,/ADMIN/WALLET/SETTLEMENTS/EXPORT,1,1,1
GET,/ADMIN/WITHDRAWALS,1,0,1
GET,/ADMIN/WITHDRAWALS/PENDING,1,0,1
GET,/AKHDIMNI/ADMIN/ERRANDS,1,1,1
GET,/AKHDIMNI/DRIVER/MY-ERRANDS,1,1,1
