method,path,file,framework
GET,/,backend-nest/scripts/extract-routes.ts,nest
GET,/content/pages,backend-nest/src/modules/admin/admin-cms.controller.ts,nest
GET,/content/pages/{id},backend-nest/src/modules/admin/admin-cms.controller.ts,nest
POST,/content/pages,backend-nest/src/modules/admin/admin-cms.controller.ts,nest
PUT,/content/pages/{id},backend-nest/src/modules/admin/admin-cms.controller.ts,nest
DELETE,/content/pages/{id},backend-nest/src/modules/admin/admin-cms.controller.ts,nest
POST,/content/strings,backend-nest/src/modules/admin/admin-cms.controller.ts,nest
PUT,/content/strings/{id},backend-nest/src/modules/admin/admin-cms.controller.ts,nest
DELETE,/content/strings/{id},backend-nest/src/modules/admin/admin-cms.controller.ts,nest
POST,/content/home-layouts,backend-nest/src/modules/admin/admin-cms.controller.ts,nest
PUT,/content/home-layouts/{id},backend-nest/src/modules/admin/admin-cms.controller.ts,nest
DELETE,/content/home-layouts/{id},backend-nest/src/modules/admin/admin-cms.controller.ts,nest
DELETE,/wallet/coupons/{id},backend-nest/src/modules/admin/admin-cms.controller.ts,nest
DELETE,/wallet/subscriptions/{id},backend-nest/src/modules/admin/admin-cms.controller.ts,nest
POST,/reports/generate,backend-nest/src/modules/admin/admin-cms.controller.ts,nest
POST,/reports/export/{id}/{format},backend-nest/src/modules/admin/admin-cms.controller.ts,nest
GET,/reports/realtime,backend-nest/src/modules/admin/admin-cms.controller.ts,nest
GET,/wallet/settlements/export,backend-nest/src/modules/admin/admin-cms.controller.ts,nest
GET,/admin/dashboard,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/stats/today,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/stats/financial,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/dashboard/orders-by-status,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/dashboard/revenue,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/dashboard/live-metrics,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/drivers/{id},backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/drivers/{id}/performance,backend-nest/src/modules/admin/admin.controller.ts,nest
DELETE,/admin/drivers/{id},backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/drivers/{id}/financials,backend-nest/src/modules/admin/admin.controller.ts,nest
POST,/admin/drivers/{id}/ban,backend-nest/src/modules/admin/admin.controller.ts,nest
POST,/admin/drivers/{id}/unban,backend-nest/src/modules/admin/admin.controller.ts,nest
PATCH,/admin/drivers/{id}/adjust-balance,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/vendors/pending,backend-nest/src/modules/admin/admin.controller.ts,nest
POST,/admin/vendors/{id}/approve,backend-nest/src/modules/admin/admin.controller.ts,nest
POST,/admin/vendors/{id}/reject,backend-nest/src/modules/admin/admin.controller.ts,nest
POST,/admin/vendors/{id}/suspend,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/users/{id},backend-nest/src/modules/admin/admin.controller.ts,nest
POST,/admin/users/{id}/ban,backend-nest/src/modules/admin/admin.controller.ts,nest
POST,/admin/users/{id}/unban,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/reports/daily,backend-nest/src/modules/admin/admin.controller.ts,nest
POST,/admin/reports/export/{type}/{format},backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/drivers/{id}/attendance,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/drivers/attendance/summary,backend-nest/src/modules/admin/admin.controller.ts,nest
POST,/admin/drivers/{id}/attendance/adjust,backend-nest/src/modules/admin/admin.controller.ts,nest
DELETE,/admin/drivers/shifts/{id},backend-nest/src/modules/admin/admin.controller.ts,nest
DELETE,/admin/drivers/assets/{id},backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/drivers/leave-requests,backend-nest/src/modules/admin/admin.controller.ts,nest
PATCH,/admin/drivers/leave-requests/{id}/approve,backend-nest/src/modules/admin/admin.controller.ts,nest
PATCH,/admin/drivers/leave-requests/{id}/reject,backend-nest/src/modules/admin/admin.controller.ts,nest
DELETE,/admin/drivers/leave-requests/{id},backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/drivers/{id}/leave-balance,backend-nest/src/modules/admin/admin.controller.ts,nest
PATCH,/admin/drivers/{id}/leave-balance/adjust,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/quality/metrics,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/settings,backend-nest/src/modules/admin/admin.controller.ts,nest
PATCH,/admin/settings,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/settings/feature-flags,backend-nest/src/modules/admin/admin.controller.ts,nest
PATCH,/admin/settings/feature-flags/{flag},backend-nest/src/modules/admin/admin.controller.ts,nest
POST,/admin/backup/create,backend-nest/src/modules/admin/admin.controller.ts,nest
GET,/admin/backup/list,backend-nest/src/modules/admin/admin.controller.ts,nest
