method,path,file,kind
ANY,/api/content/latest,admin-dashboard/public/sw.js,fetch
PUT,/api/content/latest,admin-dashboard/public/sw.js,client
GET,/admin/notifications/campaigns,admin-dashboard/src/api/adminNotifications.ts,client
POST,/admin/notifications/campaigns,admin-dashboard/src/api/adminNotifications.ts,client
GET,/admin/notifications/templates,admin-dashboard/src/api/adminNotifications.ts,client
POST,/admin/notifications/templates,admin-dashboard/src/api/adminNotifications.ts,client
GET,/admin/dashboard/summary,admin-dashboard/src/api/adminOverview.ts,axios
GET,/admin/dashboard/timeseries,admin-dashboard/src/api/adminOverview.ts,axios
GET,/admin/dashboard/top,admin-dashboard/src/api/adminOverview.ts,axios
GET,/admin/dashboard/alerts,admin-dashboard/src/api/adminOverview.ts,axios
GET,/admin/dashboard/summary,admin-dashboard/src/api/adminOverview.ts,client
GET,/admin/dashboard/timeseries,admin-dashboard/src/api/adminOverview.ts,client
GET,/admin/dashboard/top,admin-dashboard/src/api/adminOverview.ts,client
GET,/admin/dashboard/alerts,admin-dashboard/src/api/adminOverview.ts,client
POST,/admin/users,admin-dashboard/src/api/adminUsers.ts,client
GET,/admin/modules,admin-dashboard/src/api/adminUsers.ts,client
GET,/akhdimni/admin/errands,admin-dashboard/src/api/akhdimni.ts,client
GET,/admin/amani,admin-dashboard/src/api/amani.ts,client
GET,/admin/arabon,admin-dashboard/src/api/arabon.ts,client
POST,/auth/login,admin-dashboard/src/api/client-example.ts,axios
POST,/auth/login,admin-dashboard/src/api/client-example.ts,client
POST,/admin/onboarding-slides,admin-dashboard/src/api/cmsApi.ts,client
POST,/admin/pages,admin-dashboard/src/api/cmsApi.ts,client
DELETE,/er/documents/bulk,admin-dashboard/src/api/documents.ts,client
GET,/er/documents/export,admin-dashboard/src/api/documents.ts,client
GET,/admin/drivers/finance,admin-dashboard/src/api/driverFinance.ts,client
POST,/admin/drivers/finance/run,admin-dashboard/src/api/driverFinance.ts,client
GET,/admin/es3afni,admin-dashboard/src/api/es3afni.ts,client
GET,/admin/kawader,admin-dashboard/src/api/kawader.ts,client
GET,/admin/kawader/stats/overview,admin-dashboard/src/api/kawader.ts,client
GET,/admin/kenz,admin-dashboard/src/api/kenz.ts,client
GET,/admin/kenz/stats/overview,admin-dashboard/src/api/kenz.ts,client
GET,/admin/maarouf,admin-dashboard/src/api/maarouf.ts,client
GET,/admin/maarouf/stats/overview,admin-dashboard/src/api/maarouf.ts,client
GET,/merchant/catalog/products,admin-dashboard/src/api/merchant.ts,client
POST,/merchant/catalog/products,admin-dashboard/src/api/merchant.ts,client
GET,/merchant/categories,admin-dashboard/src/api/merchant.ts,client
POST,/merchant/categories,admin-dashboard/src/api/merchant.ts,client
GET,/merchant/attributes,admin-dashboard/src/api/merchant.ts,client
POST,/merchant/attributes,admin-dashboard/src/api/merchant.ts,client
GET,/merchant/products,admin-dashboard/src/api/merchant.ts,client
POST,/merchant/products,admin-dashboard/src/api/merchant.ts,client
GET,/merchant,admin-dashboard/src/api/merchant.ts,client
POST,/merchant,admin-dashboard/src/api/merchant.ts,client
GET,/delivery/order,admin-dashboard/src/api/orders.ts,client
GET,/delivery/order/export,admin-dashboard/src/api/orders.ts,client
GET,/admin/payments,admin-dashboard/src/api/payments.ts,client
GET,/admin/payments/stats/overview,admin-dashboard/src/api/payments.ts,client
POST,/admin/reports/generate,admin-dashboard/src/api/reports.ts,client
GET,/admin/reports/realtime,admin-dashboard/src/api/reports.ts,client
GET,/admin/sanad,admin-dashboard/src/api/sanad.ts,client
GET,/admin/sanad/stats/overview,admin-dashboard/src/api/sanad.ts,client
GET,/admin/wallet/settlements/export,admin-dashboard/src/api/settlements.ts,client
POST,/v2/wallet/hold,admin-dashboard/src/api/wallet.ts,client
POST,/v2/wallet/release,admin-dashboard/src/api/wallet.ts,client
POST,/v2/wallet/refund,admin-dashboard/src/api/wallet.ts,client
GET,/admin/me,admin-dashboard/src/hook/useAdminUser.ts,axios
GET,/admin/me,admin-dashboard/src/hook/useAdminUser.ts,client
GET,/features,admin-dashboard/src/hook/useFeatures.ts,axios
GET,/features,admin-dashboard/src/hook/useFeatures.ts,client
POST,/api/leads/captain,admin-dashboard/src/landing/pages/BecomeCaptainPage.tsx,axios
POST,/api/leads/captain,admin-dashboard/src/landing/pages/BecomeCaptainPage.tsx,client
POST,/api/support/contact,admin-dashboard/src/landing/pages/ContactPage.tsx,axios
POST,/api/support/contact,admin-dashboard/src/landing/pages/ContactPage.tsx,client
POST,/api/leads/merchant,admin-dashboard/src/landing/pages/ForMerchantsPage.tsx,axios
POST,/api/leads/merchant,admin-dashboard/src/landing/pages/ForMerchantsPage.tsx,client
POST,/admin/drivers,admin-dashboard/src/pages/admin/AdminDriversPage.tsx,axios
POST,/admin/drivers,admin-dashboard/src/pages/admin/AdminDriversPage.tsx,client
GET,/admin/vendors,admin-dashboard/src/pages/admin/AdminVendorCreatePage.tsx,axios
GET,/delivery/stores,admin-dashboard/src/pages/admin/AdminVendorCreatePage.tsx,axios
POST,/vendor,admin-dashboard/src/pages/admin/AdminVendorCreatePage.tsx,axios
GET,/admin/vendors,admin-dashboard/src/pages/admin/AdminVendorCreatePage.tsx,client
GET,/delivery/stores,admin-dashboard/src/pages/admin/AdminVendorCreatePage.tsx,client
POST,/vendor,admin-dashboard/src/pages/admin/AdminVendorCreatePage.tsx,client
GET,/admin/settings/appearance,admin-dashboard/src/pages/admin/AppearanceSettingsPage.tsx,axios
PUT,/admin/settings/appearance,admin-dashboard/src/pages/admin/AppearanceSettingsPage.tsx,axios
GET,/admin/settings/appearance,admin-dashboard/src/pages/admin/AppearanceSettingsPage.tsx,client
PUT,/admin/settings/appearance,admin-dashboard/src/pages/admin/AppearanceSettingsPage.tsx,client
GET,/admin/users/list,admin-dashboard/src/pages/admin/UserManagement.tsx,axios
POST,/admin/users,admin-dashboard/src/pages/admin/UserManagement.tsx,axios
GET,/admin/users/list,admin-dashboard/src/pages/admin/UserManagement.tsx,client
GET,/admin/modules,admin-dashboard/src/pages/admin/admins/api.ts,axios
GET,/admin/list,admin-dashboard/src/pages/admin/admins/api.ts,axios
POST,/admin/create,admin-dashboard/src/pages/admin/admins/api.ts,axios
GET,/admin/list,admin-dashboard/src/pages/admin/admins/api.ts,client
POST,/admin/create,admin-dashboard/src/pages/admin/admins/api.ts,client
POST,/admin/commission-plans,admin-dashboard/src/pages/admin/commission/useCommissionPlans.ts,client
GET,/finance/commissions/settings,admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,axios
