service,method,path_norm,fe_files,be_files,notes
public-api,DELETE,/,,bthwani-project-main/backend-nest/src/modules/cart/cart.controller.ts,BE-ONLY
public-api,DELETE,/ACCOUNTS/CHART/{PARAM},,bthwani-project-main/backend-nest/src/modules/er/er.controller.ts;bthwani-project-main/backend-nest/stub-endpoints/er-stubs.ts,BE-ONLY
public-api,DELETE,/ADDRESS/{PARAM},,bthwani-project-main/backend-nest/src/modules/user/user.controller.ts;bthwani-project-main/backend-nest/stub-endpoints/user-stubs.ts,BE-ONLY
public-api,DELETE,/ADDRESSES/{PARAM},,bthwani-project-main/backend-nest/src/modules/user/user.controller.ts,BE-ONLY
public-api,DELETE,/ADMIN/DRIVERS/ASSETS/{PARAM},,bthwani-project-main/backend-nest/src/modules/admin/admin.controller.ts,BE-ONLY
public-api,DELETE,/ADMIN/DRIVERS/LEAVE-REQUESTS/{PARAM},,bthwani-project-main/backend-nest/src/modules/admin/admin.controller.ts,BE-ONLY
public-api,DELETE,/ADMIN/DRIVERS/SHIFTS/{PARAM},,bthwani-project-main/backend-nest/src/modules/admin/admin.controller.ts,BE-ONLY
public-api,DELETE,/ADMIN/DRIVERS/{PARAM},,bthwani-project-main/backend-nest/src/modules/admin/admin.controller.ts,BE-ONLY
public-api,DELETE,/ADMIN/STORES/{PARAM},,bthwani-project-main/backend-nest/src/modules/store/store.controller.ts,BE-ONLY
public-api,DELETE,/AMANI/{PARAM},,bthwani-project-main/backend-nest/src/modules/amani/amani.controller.ts,BE-ONLY
public-api,DELETE,/API/V2/SANAD/{PARAM},,bthwani-project-main/backend-nest/src/modules/sanad/sanad.controller.ts,BE-ONLY
public-api,DELETE,/ARABON/{PARAM},,bthwani-project-main/backend-nest/src/modules/arabon/arabon.controller.ts,BE-ONLY
public-api,DELETE,/ASSETS/{PARAM},,bthwani-project-main/backend-nest/src/modules/er/er.controller.ts;bthwani-project-main/backend-nest/stub-endpoints/er-stubs.ts,BE-ONLY
public-api,DELETE,/ATTRIBUTES/{PARAM},,bthwani-project-main/backend-nest/stub-endpoints/merchant-stubs.ts,BE-ONLY
public-api,DELETE,/CART/{PARAM},,bthwani-project-main/backend-nest/stub-endpoints/delivery-stubs.ts,BE-ONLY
public-api,DELETE,/CATEGORIES/{PARAM},,bthwani-project-main/backend-nest/stub-endpoints/merchant-stubs.ts,BE-ONLY
public-api,DELETE,/COMBINED/CLEAR-ALL,,bthwani-project-main/backend-nest/src/modules/cart/cart.controller.ts,BE-ONLY
public-api,DELETE,/CONSENT/{PARAM},,bthwani-project-main/backend-nest/reports/ACTION_PLAN_100.md;bthwani-project-main/backend-nest/src/modules/auth/auth.controller.ts,BE-ONLY
public-api,DELETE,/CONTENT/ADMIN/FAQS/{PARAM},,bthwani-project-main/backend-nest/src/modules/content/content.controller.ts,BE-ONLY
public-api,DELETE,/CONTENT/BANNERS/{PARAM},,bthwani-project-main/backend-nest/src/modules/content/content.controller.ts,BE-ONLY
public-api,DELETE,/CONTENT/SECTIONS/{PARAM},,bthwani-project-main/backend-nest/src/modules/content/content.controller.ts,BE-ONLY
